x,y,population,cluster
659.1393388,137.4519234,41749,0
653.2227316,219.5583822,105160,0
627.7566034,161.3420661,74742,0
594.4673429,181.4220411,20866,0
642.1814707,252.8252449,135394,0
666.3717441,132.3583828,24029,0
630.4366538,233.6059419,50486,0
575.8669546,212.1388543,17534,0
591.3274455,167.6025325,21676,0
622.6770366,187.1805314,18021,0
551.9704008,175.4589394,11211,0
616.1680472,182.1367065,29773,0
659.0736039,192.7318181,389891,0
603.8642287,257.3630265,7139,0
595.1222756,160.0413686,7469,0
640.135383,183.5915193,56833,0
628.1778176,195.2698653,23687,0
617.3503626,246.9461543,7331,0
583.677952,164.2039566,46183,0
612.3417869,216.82841,20638,0
620.6224124,133.3311957,14159,0
632.9034719,172.6327469,20875,0
649.63051,119.1631865,11817,0
670.0801594,235.8944149,113440,0
557.0645557,166.421779,32727,0
653.7628925,160.4876293,176695,0
603.0881871,235.6841502,21704,0
557.6949734,161.1606816,15226,0
572.8149106,129.2183293,16239,0
549.863032,168.922913,25893,0
658.6198032,242.8944777,38950,0
622.2886415,255.2695432,32612,0
621.4901189,227.6668516,165223,0
665.3129596,248.2354362,14081,0
599.4710743,165.2113473,13587,0
556.5885299,257.1192197,2171,0
640.259029,193.059887,488072,0
583.3164314,181.835117,39163,0
562.51804,147.3391702,124700,0
663.6777502,175.8667294,115507,0
648.5591553,147.2686299,4232,0
665.171295,166.3628779,81442,0
569.0952565,174.0958268,19136,0
561.1075936,135.0704221,38451,0
587.5384746,156.9239671,41019,0
644.4378299,223.6559194,36031,0
645.2837648,236.3821514,6006,0
559.5520175,251.0849672,5131,0
614.0317195,190.5903213,16644,0
608.4197823,138.7976665,14755,0
565.2629015,141.1983836,88499,0
545.1431722,148.2274197,42239,0
630.7305178,254.004517,37069,0
606.3155987,114.3017239,15014,0
580.0817072,149.8623504,238136,0
613.2980786,231.8294214,42683,0
652.3387251,127.2690851,4423,0
599.3622219,200.1018223,20880,0
654.4969145,252.2508829,169564,0
611.2430651,237.7999737,11387,0
567.5497294,250.8725246,8457,0
576.5166852,151.2192775,508639,0
658.5240907,168.0458427,48971,0
583.6275297,211.6557404,12453,0
587.0782959,149.9803273,84345,0
642.6533885,141.7296253,19977,0
637.6381542,202.3199158,36842,0
584.5102141,90.88645836,200226,0
660.4830333,122.9882108,26168,0
654.4820251,176.127523,101633,0
573.3000138,182.1023657,31233,0
563.2542975,182.3485553,14553,0
665.6536376,208.5780002,703451,0
671.7264585,244.9260028,29718,0
633.5897962,123.9493271,21430,0
600.0254941,174.2747296,51461,0
587.7787177,131.0236723,15457,0
606.3743252,148.3243009,62415,0
606.6742045,156.2664964,98736,0
570.8017383,228.6680954,430640,0
655.6942691,201.2020857,102228,0
618.5464983,173.7660356,44673,0
541.1480341,165.5027537,16059,0
565.2310951,155.4699311,91042,0
