SEXISTAT1,Classe di età,TIME,Seleziona periodo,Value
1,15 anni e più,1977,1977,2.53672
1,15 anni e più,1978,1978,2.504879
1,15 anni e più,1979,1979,2.488412
1,15 anni e più,1980,1980,2.309971
1,15 anni e più,1981,1981,2.508706
1,15 anni e più,1982,1982,3.153512
1,15 anni e più,1983,1983,3.651696
1,15 anni e più,1984,1984,3.791725
1,15 anni e più,1985,1985,3.980399
1,15 anni e più,1986,1986,4.689239
1,15 anni e più,1987,1987,4.981277
1,15 anni e più,1988,1988,5.070944
1,15 anni e più,1989,1989,4.873855
1,15 anni e più,1990,1990,4.466706
1,15 anni e più,1991,1991,4.132928
1,15 anni e più,1992,1992,5.155006
1,15 anni e più,1993,1993,8.0864
1,15 anni e più,1994,1994,9.680498
1,15 anni e più,1995,1995,10.414643
1,15 anni e più,1996,1996,11.09211
1,15 anni e più,1997,1997,11.175697
1,15 anni e più,1998,1998,12.148422
1,15 anni e più,1999,1999,11.797975
1,15 anni e più,2000,2000,10.784516
1,15 anni e più,2001,2001,10.857831
1,15 anni e più,2002,2002,10.763361
1,15 anni e più,2003,2003,8.48905
1,15 anni e più,2004,2004,8.506705
1,15 anni e più,2005,2005,7.800287
1,15 anni e più,2006,2006,7.14435
1,15 anni e più,2007,2007,6.406808
1,15 anni e più,2008,2008,7.820303
1,15 anni e più,2009,2009,9.402604
1,15 anni e più,2010,2010,10.593935
1,15 anni e più,2011,2011,11.215958
1,15 anni e più,2012,2012,14.838249
1,15 anni e più,2013,2013,18.344177
1,15 anni e più,2014,2014,18.372823
1,15 anni e più,2015,2015,17.706971
1,15 anni e più,2016,2016,18.311441
1,15 anni e più,2017,2017,17.383841
1,15 anni e più,1977,1977,5.916023
1,15 anni e più,1978,1978,5.89264
1,15 anni e più,1979,1979,6.18627
1,15 anni e più,1980,1980,6.185924
1,15 anni e più,1981,1981,6.685886
1,15 anni e più,1982,1982,7.362151
1,15 anni e più,1983,1983,8.044707
1,15 anni e più,1984,1984,8.62464
1,15 anni e più,1985,1985,8.603121
1,15 anni e più,1986,1986,8.821045
1,15 anni e più,1987,1987,9.284961
1,15 anni e più,1988,1988,8.560723
1,15 anni e più,1989,1989,8.067808
1,15 anni e più,1990,1990,7.160817
1,15 anni e più,1991,1991,6.834563
1,15 anni e più,1992,1992,6.867705
1,15 anni e più,1993,1993,7.650558
