region,list,votes
piemonte,lega,553326
piemonte,forza italia,328202
piemonte,fratelli d'italia con giorgia meloni,98690
piemonte,noi con l'italia - udc,18385
piemonte,movimento 5 stelle,648740
piemonte,partito democratico,501113
piemonte,+europa,98582
piemonte,italia europa insieme,10921
piemonte,civica popolare lorenzin,11850
piemonte,liberi e uguali,92564
piemonte,potere al popolo!,28098
piemonte,casapound italia,24976
piemonte,il popolo della famiglia,16198
piemonte,partito valore umano,9227
piemonte,italia agli italiani,7016
lombardia,lega,1567206
lombardia,forza italia,776007
lombardia,fratelli d'italia con giorgia meloni,226159
lombardia,noi con l'italia - udc,52827
lombardia,partito democratico,1181179
lombardia,+europa,187539
lombardia,italia europa insieme,26967
lombardia,civica popolare lorenzin,20470
lombardia,movimento 5 stelle,1195814
lombardia,liberi e uguali,160563
lombardia,potere al popolo!,48307
lombardia,casapound italia,57948
lombardia,il popolo della famiglia,33171
lombardia,10 volte meglio,11743
lombardia,italia agli italiani,20478
lombardia,per una sinistra rivoluzionaria,8984
lombardia,partito repubblicano italiano - ala,4668
lombardia,grande nord,8894
lombardia,partito valore umano,2204
lombardia,blocco nazionale per le liberta',767
lombardia,italia nel cuore,574
veneto,lega,920368
veneto,forza italia,301496
veneto,fratelli d'italia con giorgia meloni,119970
veneto,noi con l'italia - udc,31538
veneto,movimento 5 stelle,695741
veneto,partito democratico,478206
veneto,+europa,77344
veneto,italia europa insieme,13091
veneto,civica popolare lorenzin,11256
veneto,liberi e uguali,77623
veneto,il popolo della famiglia,30233
veneto,casapound italia,28078
veneto,potere al popolo!,19440
veneto,italia agli italiani,19413
veneto,grande nord,10952
veneto,partito valore umano,8363
veneto,10 volte meglio,10585
veneto,partito repubblicano italiano - ala,2893
friuli,lega,178194
friuli,forza italia,73598
friuli,fratelli d'italia con giorgia meloni,36598
friuli,noi con l'italia - udc,7753
friuli,movimento 5 stelle,169299
friuli,partito democratico,129261
friuli,+europa,23525
friuli,italia europa insieme,3288
friuli,civica popolare lorenzin,2929
friuli,liberi e uguali,22079
friuli,casapound italia,8775
friuli,patto per l'autonomia,7079
friuli,potere al popolo!,5935
friuli,italia agli italiani,5610
friuli,il popolo della famiglia,4847
friuli,partito valore umano,2839
friuli,10 volte meglio,1929
friuli,per una sinistra rivoluzionaria,1889
friuli,siamo,1428
friuli,lista del popolo per la costituzione,865
friuli,rinascimento mir,772
friuli,blocco nazionale per le liberta',642
liguria,lega,171352
liguria,forza italia,108907
liguria,fratelli d'italia con giorgia meloni,32517
liguria,noi con l'italia - udc,7868
liguria,movimento 5 stelle,259264
liguria,partito democratico,169766
liguria,+europa,29129
liguria,italia europa insieme,5253
liguria,civica popolare lorenzin,2923
liguria,liberi e uguali,38083
liguria,potere al popolo!,11861
liguria,casapound italia,8264
liguria,partito comunista,5120
liguria,il popolo della famiglia,4336
liguria,partito valore umano,1982
liguria,10 volte meglio,1844
liguria,per una sinistra rivoluzionaria,1437
liguria,partito repubblicano italiano - ala,686
emilia,lega,486997
emilia,forza italia,251732
emilia,fratelli d'italia con giorgia meloni,84785
emilia,noi con l'italia - udc,14535
emilia,partito democratico,668837
emilia,+europa,78175
emilia,italia europa insieme,19393
emilia,civica popolare lorenzin,14195
emilia,movimento 5 stelle,698204
emilia,liberi e uguali,113814
emilia,potere al popolo!,29525
emilia,il popolo della famiglia,17327
emilia,casapound italia,17245
emilia,partito comunista,16833
emilia,italia agli italiani,11959
emilia,partito repubblicano italiano - ala,6264
emilia,per una sinistra rivoluzionaria,5364
toscana,partito democratico,632507
toscana,+europa,61582
toscana,italia europa insieme,15801
toscana,civica popolare lorenzin,8618
toscana,lega,371396
toscana,forza italia,212281
toscana,fratelli d'italia con giorgia meloni,89093
toscana,noi con l'italia - udc,12194
toscana,movimento 5 stelle,527013
toscana,liberi e uguali,97691
toscana,potere al popolo!,42286
toscana,casapound italia,22250
toscana,partito comunista,22166
toscana,il popolo della famiglia,10539
toscana,italia agli italiani,6024
toscana,per una sinistra rivoluzionaria,3145
umbria,lega,103056
umbria,forza italia,57368
umbria,fratelli d'italia con giorgia meloni,25146
umbria,noi con l'italia - udc,2503
umbria,movimento 5 stelle,140731
umbria,partito democratico,126856
umbria,+europa,9770
umbria,civica popolare lorenzin,2140
umbria,italia europa insieme,1899
umbria,liberi e uguali,15215
umbria,potere al popolo!,6733
umbria,casapound italia,6399
umbria,partito comunista,4521
umbria,il popolo della famiglia,3817
umbria,italia agli italiani,2428
umbria,10 volte meglio,1009
umbria,partito valore umano,921
umbria,partito repubblicano italiano - ala,767
marche,movimento 5 stelle,316417
marche,lega,153742
marche,forza italia,88305
marche,fratelli d'italia con giorgia meloni,43289
marche,noi con l'italia - udc,8519
marche,partito democratico,189847
marche,+europa,17245
marche,italia europa insieme,5302
marche,civica popolare lorenzin,3431
marche,liberi e uguali,26252
marche,casapound italia,10117
marche,potere al popolo!,9853
marche,il popolo della famiglia,7770
marche,partito comunista,7619
marche,partito valore umano,1241
marche,lista del popolo per la costituzione,988
lazio,lega,410871
lazio,forza italia,406814
lazio,fratelli d'italia con giorgia meloni,251114
lazio,noi con l'italia - udc,25751
lazio,movimento 5 stelle,1025578
lazio,partito democratico,578828
lazio,+europa,99332
lazio,italia europa insieme,15652
lazio,civica popolare lorenzin,14786
lazio,liberi e uguali,113639
lazio,potere al popolo!,46826
lazio,casapound italia,51559
lazio,il popolo della famiglia,15591
lazio,partito comunista,17199
lazio,italia agli italiani,10574
lazio,10 volte meglio,3620
lazio,per una sinistra rivoluzionaria,2975
lazio,lista del popolo per la costituzione,2391
lazio,blocco nazionale per le liberta',1187
abruzzo,movimento 5 stelle,303006
abruzzo,forza italia,110427
abruzzo,lega,105449
abruzzo,fratelli d'italia con giorgia meloni,37605
abruzzo,noi con l'italia - udc,16688
abruzzo,partito democratico,108549
abruzzo,+europa,14419
abruzzo,civica popolare lorenzin,7337
abruzzo,italia europa insieme,3544
abruzzo,liberi e uguali,19793
abruzzo,potere al popolo!,9688
abruzzo,casapound italia,7811
abruzzo,il popolo della famiglia,4987
abruzzo,partito comunista,4552
abruzzo,italia agli italiani,3800
abruzzo,10 volte meglio,1316
abruzzo,partito valore umano,1217
molise,movimento 5 stelle,78093
molise,forza italia,28079
molise,lega,15129
molise,fratelli d'italia con giorgia meloni,5390
molise,noi con l'italia - udc,3383
molise,partito democratico,26499
molise,civica popolare lorenzin,2171
molise,+europa,2103
molise,italia europa insieme,856
molise,liberi e uguali,6483
molise,potere al popolo!,1927
molise,casapound italia,1450
molise,partito comunista,1042
molise,partito valore umano,756
molise,italia agli italiani,628
molise,blocco nazionale per le liberta',241
molise,partito repubblicano italiano - ala,99
campania,movimento 5 stelle,1487505
campania,forza italia,549063
campania,lega,129432
campania,fratelli d'italia con giorgia meloni,104797
campania,noi con l'italia - udc,50581
campania,partito democratico,396684
campania,+europa,40929
campania,civica popolare lorenzin,29528
campania,italia europa insieme,26063
campania,liberi e uguali,88922
campania,potere al popolo!,45512
campania,il popolo della famiglia,15896
campania,casapound italia,14394
campania,italia agli italiani,15264
campania,partito repubblicano italiano - ala,2808
campania,per una sinistra rivoluzionaria,3413
campania,partito comunista,4574
campania,partito valore umano,2582
campania,10 volte meglio,1497
campania,lista del popolo per la costituzione,853
puglia,movimento 5 stelle,981580
puglia,forza italia,409401
puglia,lega,135125
puglia,fratelli d'italia con giorgia meloni,82098
puglia,noi con l'italia - udc,76026
puglia,partito democratico,298772
puglia,+europa,29563
puglia,italia europa insieme,11997
puglia,civica popolare lorenzin,11332
puglia,liberi e uguali,76593
puglia,potere al popolo!,21279
puglia,casapound italia,16340
puglia,il popolo della famiglia,12112
puglia,italia agli italiani,6965
puglia,partito comunista,6059
puglia,partito valore umano,3087
puglia,10 volte meglio,3073
puglia,partito repubblicano italiano - ala,2758
basilicata,movimento 5 stelle,139158
basilicata,forza italia,38906
basilicata,lega,19704
basilicata,fratelli d'italia con giorgia meloni,11587
basilicata,noi con l'italia - udc,9468
basilicata,partito democratico,50653
basilicata,civica popolare lorenzin,3847
basilicata,+europa,3783
basilicata,italia europa insieme,3264
basilicata,liberi e uguali,20219
basilicata,potere al popolo!,4027
basilicata,casapound italia,2051
basilicata,il popolo della famiglia,1875
basilicata,partito comunista,1511
basilicata,partito valore umano,803
basilicata,blocco nazionale per le liberta',791
basilicata,10 volte meglio,738
basilicata,lista del popolo per la costituzione,685
basilicata,per una sinistra rivoluzionaria,649
calabria,movimento 5 stelle,406684
calabria,forza italia,188667
calabria,lega,52676
calabria,fratelli d'italia con giorgia meloni,42733
calabria,noi con l'italia - udc,17675
calabria,partito democratico,134511
calabria,+europa,9414
calabria,italia europa insieme,8873
calabria,civica popolare lorenzin,7669
calabria,liberi e uguali,26722
calabria,potere al popolo!,10201
calabria,casapound italia,7103
calabria,italia agli italiani,6593
calabria,il popolo della famiglia,5931
calabria,partito valore umano,4825
calabria,partito comunista,4504
calabria,per una sinistra rivoluzionaria,1508
calabria,lista del popolo per la costituzione,1421
sicilia,movimento 5 stelle,1181357
sicilia,forza italia,500262
sicilia,lega,123911
sicilia,fratelli d'italia con giorgia meloni,88356
sicilia,noi con l'italia - udc,56169
sicilia,partito democratico,279273
sicilia,+europa,27842
sicilia,italia europa insieme,10404
sicilia,civica popolare lorenzin,13008
sicilia,liberi e uguali,69504
sicilia,il popolo della famiglia,24169
sicilia,potere al popolo!,17092
sicilia,italia agli italiani,9791
sicilia,casapound italia,11967
sicilia,partito comunista,5815
sicilia,lista del popolo per la costituzione,2718
sicilia,partito valore umano,1624
sardegna,movimento 5 stelle,369196
sardegna,forza italia,128503
sardegna,lega,93771
sardegna,fratelli d'italia con giorgia meloni,34963
sardegna,noi con l'italia - udc,12584
sardegna,partito democratico,128884
sardegna,+europa,17030
sardegna,italia europa insieme,4456
sardegna,civica popolare lorenzin,3144
sardegna,liberi e uguali,27235
sardegna,autodeterminatzione,19307
sardegna,potere al popolo!,7885
sardegna,casapound italia,7645
sardegna,il popolo della famiglia,5937
sardegna,partito comunista,5301
sardegna,partito valore umano,3159
trentino,svp - patt,134651
trentino,partito democratico,81671
trentino,+europa,14162
trentino,civica popolare lorenzin,7473
trentino,italia europa insieme,3577
trentino,lega,106982
trentino,forza italia,38938
trentino,fratelli d'italia con giorgia meloni,14660
trentino,noi con l'italia - udc,2705
trentino,movimento 5 stelle,108686
trentino,liberi e uguali,21805
trentino,casapound italia,8060
trentino,potere al popolo!,5704
trentino,il popolo della famiglia,4897
trentino,partito valore umano,3123
