country,code,population
Austria,AUT,8809212
Belgium,BEL,11372068
Bulgaria,BGR,7075991
Switzerland,CHE,8466017
Czech Republic,CZE,10591323
Germany,DEU,82695000
Denmark,DNK,5769603
Spain,ESP,46572028
Estonia,EST,1315480
Finland,FIN,5511303
France,FRA,67118648
United Kingdom,GBR,66022273
Greece,GRC,10760421
Croatia,HRV,4125700
Hungary,HUN,9781127
Italy,ITA,60551416
Lithuania,LTU,2827721
Norway,NOR,5282223
Poland,POL,37975841
Portugal,PRT,10293718
Romania,ROU,19586539
Serbia,SRB,7022268
Slovenia,SVN,2066748
Sweden,SWE,10067744
Turkey,TUR,80745020
Ukraine,UKR,44831159
